"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"164A18179X","Conec","626-1062-ND","","","Tray","Active","1","16.37000","$16.37","177","6 Weeks","CONN D-SUB HD RCPT 15P R/A SLDR","ROHS3 Compliant","Lead free","REACH Unaffected"
"3030161","Phoenix Contact","277-2115-ND","","","Box","Active","6","0.67000","$4.02","31088","9 Weeks","JUMPER TERM BLK 2POS FLAT PIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"RJSAE-5385-02","Amphenol ICC (Commercial Products)","RJSAE-5385-02-ND","","","Tray","Active","1","6.67000","$6.67","0","8 Weeks","CONN MOD JACK 8P8C R/A SHIELDED","RoHS Compliant","Lead free","Not Available"
"SWM30-12-NV-P5","CUI Inc.","102-4276-ND","","","Box","Active","1","20.11000","$20.11","171","29 Weeks","AC/DC WALL MOUNT ADAPTER 12V 36W","RoHS Compliant","Lead free","Not Available"
"CRCW06032K20FKEA","Vishay Dale","541-2.20KHCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","19","52 Weeks","RES SMD 2.2K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"RCS06031K10FKEA","Vishay Dale","541-RCS06031K10FKEACT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","4985","23 Weeks","RES SMD 1.1K OHM 1% 1/4W 0603","ROHS3 Compliant","Lead free","Not Available"
"PA4344.104NLT","Pulse Electronics Power","553-3011-1-ND","","","Cut Tape (CT)","Active","3","3.77000","$11.31","1727","20 Weeks","FIXED IND 100UH 5.3A 118 MOHM","RoHS Compliant","Lead free","Not Available"
"1935161","Phoenix Contact","277-1667-ND","","","Bulk","Active","6","0.43000","$2.58","0","9 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"IXDN614YI","IXYS Integrated Circuits Division","IXDN614YI-ND","","","Tube","Active","3","5.45000","$16.35","0","15 Weeks","IC GATE DRVR LOW-SIDE TO263-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"PJ-037AH","CUI Devices","CP-037AH-ND","","","Bag","Active","1","0.72000","$0.72","3969","11 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"INA143U","Texas Instruments","INA143U-ND","","","Tube","Active","3","4.01000","$12.03","329","6 Weeks","IC OPAMP DIFF 1 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM188R6YA225MA12D","Murata Electronics","490-10486-1-ND","","","Cut Tape (CT)","Active","6","0.20000","$1.20","0","23 Weeks","CAP CER 2.2UF 35V X5R 0603","ROHS3 Compliant","Lead free","Not Available"
"EEU-FM1V102B","Panasonic Electronic Components","P19719CT-ND","","","Cut Tape (CT)","Active","1","1.16000","$1.16","65","33 Weeks","CAP ALUM 1000UF 20% 35V RADIAL","RoHS Compliant","Lead free","Not Available"
"15FR150E","Ohmite","15FR150E-ND","","","Bulk","Active","1","3.11000","$3.11","1147","21 Weeks","RES 150M OHM 1% 5W AXIAL","ROHS3 Compliant","Lead free","Not Available"